Alternaria_triticimaculans_BMP_0046	F899E93D
Alternaria_triticina_DAOMC238612	FA0F0CD6
Alternaria_ventricosa_BMP_2768	F7746CC6
Alternaria_viburni_BMP_2772	F773377F
Alyxoria_varia_Spribille_s.n._20.09.2020_TS-e1968	F6C7908F
Amanita_bisporigera_Ingham01	FB348870
Amanita_brunnescens_Koide_BX004	FE0DD6EA
Amanita_exitialis_LH00005	F0A03C30
Amanita_fuliginea_LH00002	F7E3887E
Amanita_inopinata_Kibby_2008	F97183DC
Amanita_jacksonii	F36CABC3
Amanita_molliuscula_LH00009	FA685757
Amanita_muscaria_Koide_BX008	F092CD58
Amanita_pallidorosea_LH00007	F4C75376
Amanita_phalloides	F958615C
Amanita_polypyramis_BW_CC	F4A89037
Amanita_pseudoporphyria_MG37	FA234F74
Amanita_rimosa_LH00003	F3C410A9
Amanita_rubescens_Prilba	F9FFFFCA
Amanita_subjunquillea_LH00001	F2E2A438
Amanita_thiersii_SKay4041	F424AB2E
Amauroascus_niger_UAMH_3544	FE1053B4
Amauroascus_verrucosus_UAMH_3576	F900CCC1
Amauroderma_rugosum_ACCC_51706	FB219AA8
Ambispora_gerdemannii_MT106	F9F7649B
Ambispora_leptoticha_FL130A	F71D2AD7
Ambrosiella_beaveri_CBS_121753	FFA10D02
Ambrosiella_cleistominuta_CBS_141682	FFBC5073
Ambrosiella_xylebori_CBS_110.61	F7080087
Ambrosiozyma_ambrosiae_NRRL_Y-7524	FD173A44
Ambrosiozyma_angophorae_NRRL_Y-7118	F9B8AE0B
Ambrosiozyma_cicatricosa_NRRL_Y-17594T	F223FFD1
Ambrosiozyma_kamigamensis_NRRL_Y-63629	F011C435
Ambrosiozyma_kashinagicola_JCM_15019	F97E0C66
Ambrosiozyma_llanquihuensis_NRRL_Y-17657	F3CA2D9F
Ambrosiozyma_maleeae_NRRL_Y-63635	F6F46717
Ambrosiozyma_monospora_JCM_7599	F8CF5BA2
Ambrosiozyma_neoplatypodis_NRRL_Y-63630	F522CD09
Ambrosiozyma_oregonensis_NRRL_Y-6106	F7BE696F
Ambrosiozyma_philentoma_NRRL_Y-7523	FEC3FC83
Ambrosiozyma_platypodis_NRRL_Y-6732	FA733804
Ambrosiozyma_pseudovanderkliftii_NRRL_Y-63632	FFFFA448
Ambrosiozyma_vanderkliftii_NRRL_Y-63633	F8EAC89D
Amesia_nigricolor_F5	FC761306
Amniculicola_lignicola_CBS_123094	F9E7F636
Amoeboradix_gromovi_X-113	F8E7AE41
Amorphotheca_resinae_ATCC_22711	F7B2FC32
Ampelomyces_quisqualis_BRIP_72107	F8902A33
Amphiamblys_sp._WSBS2006_WSBS2006	F470390A
Amphirosellinia_nigrospora_JS-1675	F4D7945E
Amylocarpus_encephaloides_TRa018bII	FA79BEBB
Amylocystis_lapponica_SKaAmylap13	FF584383
Amyloporia_xantha_YAFMF0618	FBE9B343
Amylostereum_areolatum_HG-01	FA8D86EB
Amylostereum_chailletii_DWAch2	FEF92505
Anaeromyces_robustus_S4	F76F2617
Anisogramma_anomala_OR1	FB9EBF66
Annulohypoxylon_bovei_CBS_124037	F072FF26
Annulohypoxylon_maeteangense_CBS_123835	F084B9C9
Annulohypoxylon_moriforme_CBS_123579	FE6C0C0A
Annulohypoxylon_nitens_CBS_120705	FD0C231D
Annulohypoxylon_sp._FPYF3050_FPYF3050	F21010A9
Annulohypoxylon_stygium_TJAS01	FFCAF2BB
Annulohypoxylon_truncatum_CBS_140777	F28D8A82
Antarctomyces_pellizariae_UFMG-CB-12416	F4ABCCAB
Anthostomella_pinea	F9D4A421
Anthracocystis_panici-leucophaei_SPL10	F72965E8
Anthracocystis_setariae_BRIP_26904_a	FA945640
Anthracocystis_walkeri_RK_031	F2DF3BCD
Antonospora_locustae_CLX	F11FA1E0
Antrodia_cinnamomea_V5	F5B59BF0
Antrodiella_citrinella_DSM_108506	F2F84183
Aotearoamyces_nothofagi_ICMP_21868	F0DCC5B3
Aphanoascus_verrucosus_IHEM_4434	F158362D
Aphanocladium_album_MX95	FCE0DFBC
Apiosordaria_backusii_CBS_540.89	F79E968A
Apiospora_arundinis_AAU_773	FD8BD657
Apiospora_aurea_CBS_24483	F40622CD
Apiospora_guizhouensis_F035	FBD2974D
Apiospora_hydei_CBS_114990	FE3DEBEB
Apiospora_kogelbergensis_CBS_113332	F106BE0C
Apiospora_malaysiana_STlab-iicb	FC5661A0
Apiospora_marii_CBS_49790	F8C4A3B1
Apiospora_phragmitis_CBS_135458	F3BD46A3
Apiospora_pterosperma_CBS_123185	FEF18550
Apiospora_rasikravindrae_CBS_33761	F3B33643
Apiospora_saccharicola_CBS_83171	F65FD153
